implementation,checkpoint,support_low,support_high,source_file,window_end,gt,pred,threshold,win_size
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,15,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,17,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,12,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,19,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,22,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,27,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,12,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,15,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,17,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,18,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,19,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,20,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,21,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,22,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,23,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,24,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,25,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,26,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,27,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,28,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-1-5-15-20-54-87-129.pkl,29,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,9,0,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,10,0,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,11,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,12,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,13,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,14,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,15,1,0,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,16,1,1,5.0,5
baseline,adult_model_10,0.049,0.0525,models-ckpt\sup-wise\adult_model_10-noise-0.50-support-0.0490-0.0525-target-14-15-48-78.pkl,17,1,1,5.0,5
