implementation,checkpoint,support_low,support_high,source_file,gt,pred,threshold
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,0,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,0,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-12-15-50-57-89-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,0,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,0,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-26-78-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,0,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,0,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-15-65-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,0,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,0,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-12-15-34-50-87-89.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,0,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,0,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,1,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
adaptive,adult_model_ass_k500_i5_abs_tstat,0.049,0.0525,models-ckpt\sup-wise\adult_model_ass_k500_i5_abs_tstat-noise-0.50-support-0.0490-0.0525-target-1-5-14-34-129.pkl,1,0,5.0
